AGRP	302661.1959	4252028.8559	12
CG30	337707.3811	4251459.1103	13
DREP	312040.7717	4245611.2263	1
H000	323950.8608	4266409.6039	14
I000	316989.8396	4257241.0732	15
LEVK	343029.2300	4274729.3659	16
PRSL	281272.9293	4281508.0090	19
THOM	280581.0782	4252304.2955	17
TOLO	341254.4798	4243325.0632	18
