AGHL	263479.8650	4262902.6552	12
ATKO	248809.4009	4264554.6928	21
DREP	312040.7717	4245611.2263	1
KAST	248637.3412	4197509.7587	31
KYLN	248350.4569	4203090.0314	32
LEPE	264443.6296	4286585.6731	22
MAOR	271375.3206	4229687.1795	13
MESS	248593.1745	4250796.6128	23
MLSS	267317.6368	4203079.7125	33
MYRT	281086.4903	4217044.0534	35
PRSL	281272.9293	4281508.0090	24
VELT	283770.4082	4201648.7585	34
