		NATIONAL TECHNICAL UNIVERSITY OF ATHENS
DIONYSOS SATELLITE OBSERVATORY - HIGHER GEODESY LABORATORY
*****************************************************************************
Grid used : 5000 m
Scale Factor : 10000000000 	 Scale Strain : 10^6

block   xcen 	 ycen 	 Kmax 	 Kmin 	 Azimouth 	 ãmax 
(a/a)   (m)  	 (m)  	 (ppm)	 (ppm)	   (deg)  	 (ppm)
*****************************************************************************
68 	 265850 	 4212327 	 +0.158 	 -0.508 	 -31.141 	 +0.666 
69 	 270850 	 4212327 	 +0.244 	 -0.144 	 +117.746 	 +0.388 
70 	 275850 	 4212327 	 +0.467 	 -0.097 	 +99.861 	 +0.563 
71 	 280850 	 4212327 	 +0.437 	 -0.077 	 +96.748 	 +0.514 
72 	 285850 	 4212327 	 +0.256 	 -0.076 	 +102.508 	 +0.331 
73 	 290850 	 4212327 	 -0.005 	 -0.245 	 +22.500 	 +0.240 
74 	 295850 	 4212327 	 +0.250 	 -0.370 	 -45.000 	 +0.620 
75 	 300850 	 4212327 	 +0.190 	 -0.630 	 +45.699 	 +0.820 
76 	 305850 	 4212327 	 +0.239 	 -0.609 	 +55.713 	 +0.849 
77 	 310850 	 4212327 	 +0.139 	 -0.439 	 +52.018 	 +0.577 
78 	 315850 	 4212327 	 +0.050 	 -0.160 	 +46.363 	 +0.210 
79 	 320850 	 4212327 	 +0.127 	 +0.013 	 +112.500 	 +0.113 
80 	 325850 	 4212327 	 +0.499 	 -0.199 	 +121.350 	 +0.698 
82 	 255850 	 4217327 	 +0.242 	 -0.962 	 -27.231 	 +1.204 
83 	 260850 	 4217327 	 +0.157 	 -0.797 	 -28.488 	 +0.954 
84 	 265850 	 4217327 	 +0.129 	 -0.569 	 -31.350 	 +0.698 
85 	 270850 	 4217327 	 +0.195 	 -0.185 	 +123.401 	 +0.381 
86 	 275850 	 4217327 	 +0.455 	 -0.105 	 +102.137 	 +0.559 
87 	 280850 	 4217327 	 +0.405 	 -0.145 	 +106.556 	 +0.549 
88 	 285850 	 4217327 	 +0.312 	 -0.232 	 +116.986 	 +0.544 
89 	 290850 	 4217327 	 +0.299 	 -0.239 	 +119.336 	 +0.539 
90 	 295850 	 4217327 	 +0.236 	 -0.176 	 +123.583 	 +0.412 
91 	 300850 	 4217327 	 +0.085 	 -0.055 	 -34.481 	 +0.139 
92 	 305850 	 4217327 	 +0.130 	 -0.090 	 +42.403 	 +0.221 
93 	 310850 	 4217327 	 +0.080 	 -0.370 	 +36.589 	 +0.449 
94 	 315850 	 4217327 	 -0.004 	 -0.396 	 +37.628 	 +0.393 
95 	 320850 	 4217327 	 +0.037 	 -0.197 	 +80.008 	 +0.234 
96 	 325850 	 4217327 	 +0.386 	 -0.156 	 +120.062 	 +0.542 
98 	 255850 	 4222327 	 +0.264 	 -1.004 	 -26.023 	 +1.268 
99 	 260850 	 4222327 	 +0.194 	 -0.794 	 -27.029 	 +0.988 
100 	 265850 	 4222327 	 +0.123 	 -0.543 	 -28.632 	 +0.666 
101 	 270850 	 4222327 	 +0.130 	 -0.160 	 +134.013 	 +0.290 
102 	 275850 	 4222327 	 +0.327 	 -0.097 	 +111.545 	 +0.424 
103 	 280850 	 4222327 	 +0.338 	 -0.218 	 +119.872 	 +0.556 
104 	 285850 	 4222327 	 +0.335 	 -0.225 	 +120.572 	 +0.559 
105 	 290850 	 4222327 	 +0.354 	 -0.104 	 +116.940 	 +0.458 
106 	 295850 	 4222327 	 +0.292 	 +0.038 	 +122.220 	 +0.255 
107 	 300850 	 4222327 	 +0.323 	 +0.127 	 -37.628 	 +0.196 
108 	 305850 	 4222327 	 +0.374 	 +0.076 	 -25.220 	 +0.298 
109 	 310850 	 4222327 	 +0.152 	 -0.012 	 -37.982 	 +0.165 
110 	 315850 	 4222327 	 -0.100 	 -0.380 	 +42.957 	 +0.281 
111 	 320850 	 4222327 	 -0.019 	 -0.331 	 +66.199 	 +0.311 
112 	 325850 	 4222327 	 +0.099 	 -0.249 	 +99.217 	 +0.348 
114 	 255850 	 4227327 	 +0.243 	 -0.993 	 -25.127 	 +1.236 
115 	 260850 	 4227327 	 +0.221 	 -0.771 	 -24.543 	 +0.992 
116 	 265850 	 4227327 	 +0.170 	 -0.480 	 -23.123 	 +0.651 
117 	 270850 	 4227327 	 +0.139 	 -0.159 	 -23.863 	 +0.297 
118 	 275850 	 4227327 	 +0.184 	 +0.006 	 -36.805 	 +0.177 
119 	 280850 	 4227327 	 +0.265 	 +0.045 	 -29.966 	 +0.220 
120 	 285850 	 4227327 	 +0.383 	 +0.157 	 -22.500 	 +0.226 
121 	 290850 	 4227327 	 +0.517 	 +0.233 	 -21.069 	 +0.283 
122 	 295850 	 4227327 	 +0.606 	 +0.204 	 -17.438 	 +0.402 
123 	 300850 	 4227327 	 +0.658 	 +0.172 	 -18.317 	 +0.486 
124 	 305850 	 4227327 	 +0.686 	 +0.074 	 -25.816 	 +0.612 
125 	 310850 	 4227327 	 +0.795 	 -0.045 	 -40.549 	 +0.840 
126 	 315850 	 4227327 	 +0.295 	 -0.035 	 -37.982 	 +0.330 
127 	 320850 	 4227327 	 +0.061 	 -0.181 	 +32.778 	 +0.242 
128 	 325850 	 4227327 	 +0.033 	 -0.043 	 -33.401 	 +0.076 
129 	 330850 	 4227327 	 +0.132 	 -0.142 	 +39.754 	 +0.275 
131 	 255850 	 4232327 	 +0.231 	 -0.931 	 -24.592 	 +1.163 
132 	 260850 	 4232327 	 +0.225 	 -0.695 	 -21.619 	 +0.920 
133 	 265850 	 4232327 	 +0.210 	 -0.390 	 -14.991 	 +0.600 
134 	 270850 	 4232327 	 +0.221 	 -0.141 	 +3.170 	 +0.362 
135 	 275850 	 4232327 	 +0.341 	 -0.041 	 +23.561 	 +0.382 
136 	 280850 	 4232327 	 +0.524 	 -0.084 	 +21.834 	 +0.608 
137 	 285850 	 4232327 	 +0.626 	 -0.076 	 +5.335 	 +0.702 
138 	 290850 	 4232327 	 +0.719 	 +0.161 	 -7.267 	 +0.558 
139 	 295850 	 4232327 	 +0.764 	 +0.186 	 -11.730 	 +0.578 
140 	 300850 	 4232327 	 +0.767 	 +0.173 	 -16.310 	 +0.594 
141 	 305850 	 4232327 	 +0.814 	 +0.096 	 -27.602 	 +0.718 
142 	 310850 	 4232327 	 +0.981 	 -0.011 	 -43.554 	 +0.991 
143 	 315850 	 4232327 	 +0.730 	 +0.100 	 -44.545 	 +0.630 
144 	 320850 	 4232327 	 +0.501 	 +0.029 	 +3.036 	 +0.473 
145 	 325850 	 4232327 	 +0.770 	 -0.110 	 +0.651 	 +0.880 
146 	 330850 	 4232327 	 +0.932 	 -0.152 	 +2.645 	 +1.085 
148 	 255850 	 4237327 	 +0.216 	 -0.816 	 -22.892 	 +1.032 
149 	 260850 	 4237327 	 +0.240 	 -0.550 	 -17.348 	 +0.791 
150 	 265850 	 4237327 	 +0.213 	 -0.293 	 -9.217 	 +0.506 
151 	 270850 	 4237327 	 +0.284 	 -0.144 	 +18.703 	 +0.428 
152 	 275850 	 4237327 	 +0.468 	 -0.088 	 +29.872 	 +0.556 
153 	 280850 	 4237327 	 +0.591 	 -0.251 	 +35.998 	 +0.841 
154 	 285850 	 4237327 	 +0.699 	 -0.529 	 +36.225 	 +1.227 
155 	 290850 	 4237327 	 +0.945 	 -0.485 	 +36.036 	 +1.429 
156 	 295850 	 4237327 	 +0.728 	 -0.398 	 +15.220 	 +1.125 
157 	 300850 	 4237327 	 +0.709 	 +0.171 	 -7.534 	 +0.539 
158 	 305850 	 4237327 	 +0.806 	 +0.164 	 -26.297 	 +0.642 
159 	 310850 	 4237327 	 +1.164 	 +0.206 	 +128.054 	 +0.958 
160 	 315850 	 4237327 	 +0.645 	 +0.505 	 -10.519 	 +0.139 
