17.789  42.480  19.420  42.228  90.0  15.0    0.3  0.4    3.8	0.4
17.980  39.260  19.760  37.415  90.0  15.0   -3.6  0.7   -3.8	0.4
19.420  42.228  20.468  40.019  90.0  15.0   -7.3  0.6    3.0	0.3
19.420  42.228  22.623  43.172  90.0  15.0   -1.3  0.1   -3.5	0.2
19.760  37.415  20.676  38.921  90.0  15.0  -41.3  0.4    2.7	0.8
19.760  37.415  21.320  35.813  30.0  15.0  -19.8  0.2   33.3	0.3
20.468  40.019  22.722  40.740  90.0  15.0    2.4  0.5   -3.8	0.7
20.468  40.019  20.676  38.921  90.0  15.0   -7.6  1.3    0.5	0.8
20.676  38.921  21.142  38.305  90.0  15.0   16.6  0.7  -19.3	0.4
20.676  38.921  22.277  38.904  90.0  15.0   -9.0  0.9   -5.4	1.0
21.142  38.305  21.642  38.181  90.0   2.0    1.6  0.4  -21.2	0.6
21.320  35.813  23.650  34.620  30.0  15.0   -6.7  0.2   36.5	0.3
21.642  38.181  21.818  38.386  90.0   2.0  -18.0  0.5   -5.9	0.4
21.818  38.386  22.755  38.074  90.0   2.0    1.0  0.4  -14.9	0.4
22.277  38.904  22.788  38.893  90.0  15.0   -8.9  0.9   -9.9	0.6
22.623  43.172  23.297  42.868  90.0  15.0    1.6  0.2   -2.6	0.2
22.722  40.740  24.038  40.731  90.0  15.0    4.8  0.7   -7.2	0.6
22.755  38.074  23.102  38.173  90.0  15.0   -7.0  0.4   -7.6	0.4
22.788  38.893  23.680  39.426  90.0  15.0  -13.9  0.7   -5.0	0.8
23.102  38.173  23.837  38.363  90.0  15.0   -6.8  0.3   -3.6	0.4
23.297  42.868  23.953  42.678  90.0  15.0    1.1  0.1   -2.6	0.2
23.650  34.620  24.269  34.394  30.0  15.0   -1.4  0.3   35.9	0.3
23.680  39.426  24.982  38.941  90.0  15.0   16.7  0.4   -7.1	1.0
23.680  39.426  23.890  39.752  90.0  15.0  -16.3  1.0   17.6	0.7
23.837  38.363  24.519  37.882  90.0   2.0   -2.7  0.5   -3.0	0.4
23.890  39.752  24.700  40.139  90.0  15.0  -23.7  0.8   10.6	1.0
23.953  42.678  25.612  42.625  90.0  15.0    0.2  0.1   -2.5	0.2
24.038  40.731  24.700  40.139  90.0  15.0    9.8  0.6   -3.6	0.9
24.269  34.394  24.609  34.335  30.0  15.0    6.2  0.3   35.1	0.2
24.519  37.882  25.068  38.241  90.0  15.0    0.0  0.5    5.3	0.7
24.609  34.335  25.117  35.386  90.0  15.0   -3.3  0.8   -1.7	0.4
24.609  34.335  26.526  34.360  30.0  15.0   17.1  0.7   38.8	0.6
24.700  40.139  26.167  40.414  90.0  15.0  -26.8  0.3   -2.8	0.5
24.982  38.941  25.068  38.241  90.0  15.0   19.4  0.8    4.5	0.3
24.982  38.941  25.412  39.311  90.0  15.0   -2.0  0.6   -0.7	0.4
25.068  38.241  25.604  38.674  90.0  15.0  -11.2  0.3   -7.8	0.3
25.117  35.386  25.293  36.313  90.0  15.0   -4.4  0.7   -6.8	0.4
25.293  36.313  26.349  36.442  90.0  15.0    7.7  0.4   -9.6	0.6
25.412  39.311  26.074  39.460  90.0  15.0   -1.1  0.4   -2.7	0.5
25.604  38.674  26.564  38.678  90.0  15.0   -2.1  0.2  -14.3	0.3
25.612  42.625  28.170  42.689  90.0  15.0   -0.1  0.1   -1.8	0.2
26.074  39.460  27.196  39.651  90.0  15.0   -0.9  0.4   -4.4	0.5
26.167  40.414  27.489  40.795  90.0  15.0  -26.5  0.3    5.4	0.3
26.349  36.442  27.365  36.759  90.0  15.0    4.7  0.5  -16.1	0.4
26.526  34.360  27.650  34.839  30.0  15.0   34.7  0.5   32.8	0.5
26.564  38.678  26.922  38.640  90.0  15.0    0.0  0.2  -15.2	0.4
26.922  38.640  27.520  38.610  90.0  15.0   -1.2  0.2  -15.6	0.4
27.196  39.651  27.880  40.070  90.0  15.0   -3.2  0.4   -5.1	0.4
27.365  36.759  28.650  36.906  90.0  15.0    8.6  0.6  -20.2	0.5
27.489  40.795  27.997  40.800  90.0  15.0  -27.5  0.3   -0.9	0.4
27.520  38.610  27.594  38.551  90.0  15.0    9.7  0.3  -12.8	0.3
27.594  38.551  28.354  38.503  90.0  15.0   -1.2  0.2  -16.5	0.4
27.650  34.839  28.006  35.706  30.0  15.0   49.5  0.4    3.3	0.6
27.880  40.070  28.990  40.120  90.0  15.0    0.7  0.3   -7.6	0.5
27.997  40.800  28.497  40.890  90.0  12.0  -26.9  0.3    6.8	0.4
28.006  35.706  28.272  36.215  30.0  15.0   49.0  0.5   10.6	0.5
28.170  42.689  33.714  44.310  90.0  15.0   -0.6  0.1   -0.3	0.1
28.272  36.215  28.650  36.906  90.0  15.0   18.3  1.1   14.1	0.5
28.272  36.215  29.143  36.125  30.0  15.0    6.1  0.5   27.5	1.0
28.354  38.503  28.846  38.192  90.0  15.0    8.4  0.2  -15.1	0.4
28.497  40.890  28.881  40.894  90.0  12.0  -27.9  0.3    2.3	0.4
28.524  -2.540  31.445   5.001  90.0  15.0    2.9  0.4   -4.7	0.4
28.650  36.906  29.533  37.393  90.0  15.0    3.1  0.5    3.6	0.6
28.846  38.192  28.933  37.952  90.0  15.0   15.8  0.4   -7.9	0.2
28.881  40.894  29.235  40.713  90.0  12.0  -24.6  0.3  -12.7	0.5
28.933  37.952  29.533  37.393  90.0  15.0   10.9  0.3  -14.5	0.3
28.990  40.120  29.700  40.400  90.0  15.0   -2.9  0.4   -8.8	0.5
29.143  36.125  31.267  35.017  30.0  15.0   -4.7  0.8   17.8	0.6
